index,Last level,GHG/Unit,GHG Conversion Factor
31710,Diesel,kg CO2e,0.87423
31711,Diesel,kg CO2e,0.15738
31712,Diesel,kg CO2e,0.25329
31713,Diesel,kg CO2e,0.62562
31714,Diesel,kg CO2e,0.1926
31715,Diesel,kg CO2e,0.30996
31716,Diesel,kg CO2e,0.62849
31717,Diesel,kg CO2e,0.27878
31718,Diesel,kg CO2e,0.44866
31719,Diesel,kg CO2e,0.6313
317110,Diesel,kg CO2e,0.25561
317111,Diesel,kg CO2e,0.41138
31710,Diesel,kg CO2e of CO2 per unit,0.86501
31711,Diesel,kg CO2e of CO2 per unit,0.15572
31712,Diesel,kg CO2e of CO2 per unit,0.25061
31713,Diesel,kg CO2e of CO2 per unit,0.61993
31714,Diesel,kg CO2e of CO2 per unit,0.19094
31715,Diesel,kg CO2e of CO2 per unit,0.30728
31716,Diesel,kg CO2e of CO2 per unit,0.62478
31717,Diesel,kg CO2e of CO2 per unit,0.27712
31718,Diesel,kg CO2e of CO2 per unit,0.44598
31719,Diesel,kg CO2e of CO2 per unit,0.62715
317110,Diesel,kg CO2e of CO2 per unit,0.25395
317111,Diesel,kg CO2e of CO2 per unit,0.4087
31710,Diesel,kg CO2e of CH4 per unit,2e-05
31711,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
31712,Diesel,kg CO2e of CH4 per unit,1e-05
31713,Diesel,kg CO2e of CH4 per unit,1e-05
31714,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
31715,Diesel,kg CO2e of CH4 per unit,1e-05
31716,Diesel,kg CO2e of CH4 per unit,1e-05
31717,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
31718,Diesel,kg CO2e of CH4 per unit,1e-05
31719,Diesel,kg CO2e of CH4 per unit,1e-05
317110,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
317111,Diesel,kg CO2e of CH4 per unit,1e-05
31710,Diesel,kg CO2e of N2O per unit,0.00919
31711,Diesel,kg CO2e of N2O per unit,0.00165
31712,Diesel,kg CO2e of N2O per unit,0.00267
31713,Diesel,kg CO2e of N2O per unit,0.00568
31714,Diesel,kg CO2e of N2O per unit,0.00165
31715,Diesel,kg CO2e of N2O per unit,0.00267
31716,Diesel,kg CO2e of N2O per unit,0.0037
31717,Diesel,kg CO2e of N2O per unit,0.00165
31718,Diesel,kg CO2e of N2O per unit,0.00267
31719,Diesel,kg CO2e of N2O per unit,0.00414
317110,Diesel,kg CO2e of N2O per unit,0.00165
317111,Diesel,kg CO2e of N2O per unit,0.00267
31710,Petrol,kg CO2e,1.42906
31711,Petrol,kg CO2e,0.20188
31712,Petrol,kg CO2e,0.3249
31713,Petrol,kg CO2e,0.81534
31714,Petrol,kg CO2e,0.20874
31715,Petrol,kg CO2e,0.33594
31716,Petrol,kg CO2e,0.83593
31717,Petrol,kg CO2e,0.33845
31718,Petrol,kg CO2e,0.54468
31719,Petrol,kg CO2e,0.85537
317110,Petrol,kg CO2e,0.21335
317111,Petrol,kg CO2e,0.34336
31710,Petrol,kg CO2e of CO2 per unit,1.42528
31711,Petrol,kg CO2e of CO2 per unit,0.20118
31712,Petrol,kg CO2e of CO2 per unit,0.32377
31713,Petrol,kg CO2e of CO2 per unit,0.81277
31714,Petrol,kg CO2e of CO2 per unit,0.20804
31715,Petrol,kg CO2e of CO2 per unit,0.33481
31716,Petrol,kg CO2e of CO2 per unit,0.83418
31717,Petrol,kg CO2e of CO2 per unit,0.33775
31718,Petrol,kg CO2e of CO2 per unit,0.54355
31719,Petrol,kg CO2e of CO2 per unit,0.85297
317110,Petrol,kg CO2e of CO2 per unit,0.21265
317111,Petrol,kg CO2e of CO2 per unit,0.34223
31710,Petrol,kg CO2e of CH4 per unit,0.00143
31711,Petrol,kg CO2e of CH4 per unit,0.00027
31712,Petrol,kg CO2e of CH4 per unit,0.00043
31713,Petrol,kg CO2e of CH4 per unit,0.00097
31714,Petrol,kg CO2e of CH4 per unit,0.00027
31715,Petrol,kg CO2e of CH4 per unit,0.00043
31716,Petrol,kg CO2e of CH4 per unit,0.00066
31717,Petrol,kg CO2e of CH4 per unit,0.00027
31718,Petrol,kg CO2e of CH4 per unit,0.00043
31719,Petrol,kg CO2e of CH4 per unit,0.00091
317110,Petrol,kg CO2e of CH4 per unit,0.00027
317111,Petrol,kg CO2e of CH4 per unit,0.00043
31710,Petrol,kg CO2e of N2O per unit,0.00235
31711,Petrol,kg CO2e of N2O per unit,0.00044
31712,Petrol,kg CO2e of N2O per unit,0.0007
31713,Petrol,kg CO2e of N2O per unit,0.00159
31714,Petrol,kg CO2e of N2O per unit,0.00044
31715,Petrol,kg CO2e of N2O per unit,0.0007
31716,Petrol,kg CO2e of N2O per unit,0.00108
31717,Petrol,kg CO2e of N2O per unit,0.00044
31718,Petrol,kg CO2e of N2O per unit,0.0007
31719,Petrol,kg CO2e of N2O per unit,0.00149
317110,Petrol,kg CO2e of N2O per unit,0.00044
317111,Petrol,kg CO2e of N2O per unit,0.0007
31710,CNG,kg CO2e,
31711,CNG,kg CO2e,
31712,CNG,kg CO2e,
31713,CNG,kg CO2e,
31714,CNG,kg CO2e,
31715,CNG,kg CO2e,
31716,CNG,kg CO2e,
31717,CNG,kg CO2e,
31718,CNG,kg CO2e,
31719,CNG,kg CO2e,0.62419
317110,CNG,kg CO2e,0.25113
317111,CNG,kg CO2e,0.40415
31710,CNG,kg CO2e of CO2 per unit,
31711,CNG,kg CO2e of CO2 per unit,
31712,CNG,kg CO2e of CO2 per unit,
31713,CNG,kg CO2e of CO2 per unit,
31714,CNG,kg CO2e of CO2 per unit,
31715,CNG,kg CO2e of CO2 per unit,
31716,CNG,kg CO2e of CO2 per unit,
31717,CNG,kg CO2e of CO2 per unit,
31718,CNG,kg CO2e of CO2 per unit,
31719,CNG,kg CO2e of CO2 per unit,0.61964
317110,CNG,kg CO2e of CO2 per unit,0.24931
317111,CNG,kg CO2e of CO2 per unit,0.40123
31710,CNG,kg CO2e of CH4 per unit,
31711,CNG,kg CO2e of CH4 per unit,
31712,CNG,kg CO2e of CH4 per unit,
31713,CNG,kg CO2e of CH4 per unit,
31714,CNG,kg CO2e of CH4 per unit,
31715,CNG,kg CO2e of CH4 per unit,
31716,CNG,kg CO2e of CH4 per unit,
31717,CNG,kg CO2e of CH4 per unit,
31718,CNG,kg CO2e of CH4 per unit,
31719,CNG,kg CO2e of CH4 per unit,0.0033
317110,CNG,kg CO2e of CH4 per unit,0.00132
317111,CNG,kg CO2e of CH4 per unit,0.00212
31710,CNG,kg CO2e of N2O per unit,
31711,CNG,kg CO2e of N2O per unit,
31712,CNG,kg CO2e of N2O per unit,
31713,CNG,kg CO2e of N2O per unit,
31714,CNG,kg CO2e of N2O per unit,
31715,CNG,kg CO2e of N2O per unit,
31716,CNG,kg CO2e of N2O per unit,
31717,CNG,kg CO2e of N2O per unit,
31718,CNG,kg CO2e of N2O per unit,
31719,CNG,kg CO2e of N2O per unit,0.00124
317110,CNG,kg CO2e of N2O per unit,0.0005
317111,CNG,kg CO2e of N2O per unit,0.0008
31710,LPG,kg CO2e,
31711,LPG,kg CO2e,
31712,LPG,kg CO2e,
31713,LPG,kg CO2e,
31714,LPG,kg CO2e,
31715,LPG,kg CO2e,
31716,LPG,kg CO2e,
31717,LPG,kg CO2e,
31718,LPG,kg CO2e,
31719,LPG,kg CO2e,0.68621
317110,LPG,kg CO2e,0.2761
317111,LPG,kg CO2e,0.44433
31710,LPG,kg CO2e of CO2 per unit,
31711,LPG,kg CO2e of CO2 per unit,
31712,LPG,kg CO2e of CO2 per unit,
31713,LPG,kg CO2e of CO2 per unit,
31714,LPG,kg CO2e of CO2 per unit,
31715,LPG,kg CO2e of CO2 per unit,
31716,LPG,kg CO2e of CO2 per unit,
31717,LPG,kg CO2e of CO2 per unit,
31718,LPG,kg CO2e of CO2 per unit,
31719,LPG,kg CO2e of CO2 per unit,0.68486
317110,LPG,kg CO2e of CO2 per unit,0.27556
317111,LPG,kg CO2e of CO2 per unit,0.44346
31710,LPG,kg CO2e of CH4 per unit,
31711,LPG,kg CO2e of CH4 per unit,
31712,LPG,kg CO2e of CH4 per unit,
31713,LPG,kg CO2e of CH4 per unit,
31714,LPG,kg CO2e of CH4 per unit,
31715,LPG,kg CO2e of CH4 per unit,
31716,LPG,kg CO2e of CH4 per unit,
31717,LPG,kg CO2e of CH4 per unit,
31718,LPG,kg CO2e of CH4 per unit,
31719,LPG,kg CO2e of CH4 per unit,0.0001
317110,LPG,kg CO2e of CH4 per unit,4e-05
317111,LPG,kg CO2e of CH4 per unit,7e-05
31710,LPG,kg CO2e of N2O per unit,
31711,LPG,kg CO2e of N2O per unit,
31712,LPG,kg CO2e of N2O per unit,
31713,LPG,kg CO2e of N2O per unit,
31714,LPG,kg CO2e of N2O per unit,
31715,LPG,kg CO2e of N2O per unit,
31716,LPG,kg CO2e of N2O per unit,
31717,LPG,kg CO2e of N2O per unit,
31718,LPG,kg CO2e of N2O per unit,
31719,LPG,kg CO2e of N2O per unit,0.00124
317110,LPG,kg CO2e of N2O per unit,0.0005
317111,LPG,kg CO2e of N2O per unit,0.0008
31710,Unknown,kg CO2e,
31711,Unknown,kg CO2e,
31712,Unknown,kg CO2e,
31713,Unknown,kg CO2e,
31714,Unknown,kg CO2e,
31715,Unknown,kg CO2e,
31716,Unknown,kg CO2e,
31717,Unknown,kg CO2e,
31718,Unknown,kg CO2e,
31719,Unknown,kg CO2e,0.63823
317110,Unknown,kg CO2e,0.2543
317111,Unknown,kg CO2e,0.40926
31710,Unknown,kg CO2e of CO2 per unit,
31711,Unknown,kg CO2e of CO2 per unit,
31712,Unknown,kg CO2e of CO2 per unit,
31713,Unknown,kg CO2e of CO2 per unit,
31714,Unknown,kg CO2e of CO2 per unit,
31715,Unknown,kg CO2e of CO2 per unit,
31716,Unknown,kg CO2e of CO2 per unit,
31717,Unknown,kg CO2e of CO2 per unit,
31718,Unknown,kg CO2e of CO2 per unit,
31719,Unknown,kg CO2e of CO2 per unit,0.63415
317110,Unknown,kg CO2e of CO2 per unit,0.25267
317111,Unknown,kg CO2e of CO2 per unit,0.40664
31710,Unknown,kg CO2e of CH4 per unit,
31711,Unknown,kg CO2e of CH4 per unit,
31712,Unknown,kg CO2e of CH4 per unit,
31713,Unknown,kg CO2e of CH4 per unit,
31714,Unknown,kg CO2e of CH4 per unit,
31715,Unknown,kg CO2e of CH4 per unit,
31716,Unknown,kg CO2e of CH4 per unit,
