index,Last level,GHG/Unit,GHG Conversion Factor
3110,Diesel,kg CO2e,0.87423
3111,Diesel,kg CO2e,0.15738
3112,Diesel,kg CO2e,0.25329
3113,Diesel,kg CO2e,0.62562
3114,Diesel,kg CO2e,0.1926
3115,Diesel,kg CO2e,0.30996
3116,Diesel,kg CO2e,0.62849
3117,Diesel,kg CO2e,0.27878
3118,Diesel,kg CO2e,0.44866
3119,Diesel,kg CO2e,0.6313
31110,Diesel,kg CO2e,0.25561
31111,Diesel,kg CO2e,0.41138
3110,Diesel,kg CO2e of CO2 per unit,0.86501
3111,Diesel,kg CO2e of CO2 per unit,0.15572
3112,Diesel,kg CO2e of CO2 per unit,0.25061
3113,Diesel,kg CO2e of CO2 per unit,0.61993
3114,Diesel,kg CO2e of CO2 per unit,0.19094
3115,Diesel,kg CO2e of CO2 per unit,0.30728
3116,Diesel,kg CO2e of CO2 per unit,0.62478
3117,Diesel,kg CO2e of CO2 per unit,0.27712
3118,Diesel,kg CO2e of CO2 per unit,0.44598
3119,Diesel,kg CO2e of CO2 per unit,0.62715
31110,Diesel,kg CO2e of CO2 per unit,0.25395
31111,Diesel,kg CO2e of CO2 per unit,0.4087
3110,Diesel,kg CO2e of CH4 per unit,2e-05
3111,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
3112,Diesel,kg CO2e of CH4 per unit,1e-05
3113,Diesel,kg CO2e of CH4 per unit,1e-05
3114,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
3115,Diesel,kg CO2e of CH4 per unit,1e-05
3116,Diesel,kg CO2e of CH4 per unit,1e-05
3117,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
3118,Diesel,kg CO2e of CH4 per unit,1e-05
3119,Diesel,kg CO2e of CH4 per unit,1e-05
31110,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
31111,Diesel,kg CO2e of CH4 per unit,1e-05
3110,Diesel,kg CO2e of N2O per unit,0.00919
3111,Diesel,kg CO2e of N2O per unit,0.00165
3112,Diesel,kg CO2e of N2O per unit,0.00267
3113,Diesel,kg CO2e of N2O per unit,0.00568
3114,Diesel,kg CO2e of N2O per unit,0.00165
3115,Diesel,kg CO2e of N2O per unit,0.00267
3116,Diesel,kg CO2e of N2O per unit,0.0037
3117,Diesel,kg CO2e of N2O per unit,0.00165
3118,Diesel,kg CO2e of N2O per unit,0.00267
3119,Diesel,kg CO2e of N2O per unit,0.00414
31110,Diesel,kg CO2e of N2O per unit,0.00165
31111,Diesel,kg CO2e of N2O per unit,0.00267
3110,Petrol,kg CO2e,1.42906
3111,Petrol,kg CO2e,0.20188
3112,Petrol,kg CO2e,0.3249
3113,Petrol,kg CO2e,0.81534
3114,Petrol,kg CO2e,0.20874
3115,Petrol,kg CO2e,0.33594
3116,Petrol,kg CO2e,0.83593
3117,Petrol,kg CO2e,0.33845
3118,Petrol,kg CO2e,0.54468
3119,Petrol,kg CO2e,0.85537
31110,Petrol,kg CO2e,0.21335
31111,Petrol,kg CO2e,0.34336
3110,Petrol,kg CO2e of CO2 per unit,1.42528
3111,Petrol,kg CO2e of CO2 per unit,0.20118
3112,Petrol,kg CO2e of CO2 per unit,0.32377
3113,Petrol,kg CO2e of CO2 per unit,0.81277
3114,Petrol,kg CO2e of CO2 per unit,0.20804
3115,Petrol,kg CO2e of CO2 per unit,0.33481
3116,Petrol,kg CO2e of CO2 per unit,0.83418
3117,Petrol,kg CO2e of CO2 per unit,0.33775
3118,Petrol,kg CO2e of CO2 per unit,0.54355
3119,Petrol,kg CO2e of CO2 per unit,0.85297
31110,Petrol,kg CO2e of CO2 per unit,0.21265
31111,Petrol,kg CO2e of CO2 per unit,0.34223
3110,Petrol,kg CO2e of CH4 per unit,0.00143
3111,Petrol,kg CO2e of CH4 per unit,0.00027
3112,Petrol,kg CO2e of CH4 per unit,0.00043
3113,Petrol,kg CO2e of CH4 per unit,0.00097
3114,Petrol,kg CO2e of CH4 per unit,0.00027
3115,Petrol,kg CO2e of CH4 per unit,0.00043
3116,Petrol,kg CO2e of CH4 per unit,0.00066
3117,Petrol,kg CO2e of CH4 per unit,0.00027
3118,Petrol,kg CO2e of CH4 per unit,0.00043
3119,Petrol,kg CO2e of CH4 per unit,0.00091
31110,Petrol,kg CO2e of CH4 per unit,0.00027
31111,Petrol,kg CO2e of CH4 per unit,0.00043
3110,Petrol,kg CO2e of N2O per unit,0.00235
3111,Petrol,kg CO2e of N2O per unit,0.00044
3112,Petrol,kg CO2e of N2O per unit,0.0007
3113,Petrol,kg CO2e of N2O per unit,0.00159
3114,Petrol,kg CO2e of N2O per unit,0.00044
3115,Petrol,kg CO2e of N2O per unit,0.0007
3116,Petrol,kg CO2e of N2O per unit,0.00108
3117,Petrol,kg CO2e of N2O per unit,0.00044
3118,Petrol,kg CO2e of N2O per unit,0.0007
3119,Petrol,kg CO2e of N2O per unit,0.00149
31110,Petrol,kg CO2e of N2O per unit,0.00044
31111,Petrol,kg CO2e of N2O per unit,0.0007
